title,skills,salary,company,job_description,link
Python Developer,"Java,PHP,MySQL,Git,GitHub,GitLab,JavaScript,Python,C++,PostgreSQL,React,Відповідальність,MongoDB,Docker,Програмування,Знання принципів ООП,AWS,C#",,PNN Soft,"Requirements:  Bachelor’s or Master’s degree in Computer Science   We are looking for Full-Stack Python + JS/React development, ready to implement the entire cycle of tasks: both back and front-end   Commercial experience in development using the Python programming language  Experience with MySQL/PostgreSQL/MongoDB or other databases   Experience with hosting Git repositories (GitHub, GitLab, Bitbucket)   English — Intermediate level and above   Strong understanding of object-oriented programming and software development principles  Will be a plus:  Experience with Docker   Experience with Cloud technologies, Amazon Web Services (AWS), and Google Drive API  Experience working with programming languages (PHP, JS, Java, C/C++, C #)  Responsibilities:  Development and improvement of software products of both back and front-end parts of tasks   Promotion of new functional capabilities and upgrading of essential additions   Use of best practices for software development and testing, compliance with technical standards, and code quality requirements adopted by the project  Advantages:  Competitive salary  Opportunities for career growth in a successful and innovative IT company  Friendly and dynamic work environment  Corporate English  Conditions:  Full-time position  On-site or remote work options",https://www.work.ua/en/jobs/5536195/
Python developer,"Користувач ОС Linux,SQL,Git,Python,Docker,Робота в команді,Уміння працювати в режимі багатозадачності,NoSQL",,Canyon Development,"Canyon Development запрошує  Python-розробника  приєднатися до нашої команди. Ми спеціалізуємося на розробці електронних пристроїв та друкованих плат. За нашими плечима понад 100 успішних проєктів середньої та високої складності для міжнародних клієнтів. Робота над проєктами починається з ідеї клієнта і завершується прототипом або запуском виробничої лінії. Вакансія передбачає роботу в офісі міста Дніпро.  Наша команда складається з досвідчених інженерів, які підтримують новачків та діляться своїми унікальними знаннями. У нас робота не буде монотонною, ви будете вирішувати задачі різної складності в різноманітних проєктах.  Необхідні знання та навички для цієї вакансії:  вища або професійна технічна освіта,  1+ років досвіду Python development,  досвід роботи з операційною системою Linux на рівні досвідченого користувача,   досвід роботи з git,   робота з базами даних (SQL, noSQL).  Буде плюсом досвід роботи:  досвід розробки Python Backend у desktop GUI applications, web applications, mobile,  Linux: знання конфігурації systemd, робота з файловою системою, мережевими інтерфейсами,  deployment Python-додатків на пристроях під управлінням Linux (Raspberry Pi, BeagleBone),  багатозадачність (multithreading),   docker.  Обов’язки:  створення архітектури: приєднуйтесь до команди для проєктування архітектури Python-додатків, де ваші ідеї втілюватимуться в реальність.  розв’язання цікавих задач: застосовуйте свої знання Python для розв’язання різноманітних проєктних задач, кожна з яких є унікальним викликом.  оптимізація коду: займайтеся рефакторингом коду, підвищуючи його ефективність та читабельність.  оцінка якості: беріть участь у code review, допомагаючи підтримувати високі стандарти якості коду в нашій команді.  Ми пропонуємо:  участь у цікавих та складних проєктах,  командну роботу в системі с досвідченими розробниками,  просторий офіс в центрі міста з генератором та безпечним бомбосховищем, два провайдери (оптоволокно) та допоміжний канал Starlink,  компенсацію відпустки,  гнучкий робочий графік,  власний спортзал, клубні шахи та англійська.  Чекаємо на ваші резюме та питання по вакансії.",https://www.work.ua/en/jobs/5706480/
"Python Developer (Scraping), Data engineer","HTML,GitHub,JavaScript,Python,JSON,Знання принципів ООП,Selenium,Уважність,asyncio,Aiohttp,Beautiful Soup",16400–22000 UAH,InterBox,"Вимоги :   Знання  Python ;  ООП;   Базове розуміння  JS, HTML;  Знання таких бібліотек як aiohttp, asyncio, json, requests, selenium, beautifulsoup4;  Уважність до деталей;  Вміння працювати з документацією.   Умови роботи :   Вільний графік роботи;  Немає жорстких дедлайнів;  Працюємо з довірою, без усяких тайм трекерів.  Обов’язки :   Створення внутрішнього ПО (для збору та обробки даних);  Автоматизація бізнес-процесів;  Технічна підтримка команди.   Є два тестових завдання 1) Потрібно реалізувати клас який буде взаємодіяти зі стороннім API: API (https://restcountries.com) Клас повинен отримувати дані від API то повертати в консоль в табличній формі, а саме такі дані: назва країни, назва столиці та посилання на зображення прапору в форматі png. 2) Потрібно створити клас який буде збирати дані за посиланням на Ebay сторінку товару, формат даних в якому повинні повертатись дані json в тестовому завданні можна просто виводити в консоль, або зберігати в файл. Обов’язкові дані це назва, посилання на фото, саме посилання на товар, ціна, продавець, ціна доставки. Авжеж чим більше даних, тим краще, але в контексті тестового це не важливо. Під час відгуку в супровідному листі просто вкажіть посилання на GitHub де розміщенні тестові. Удачі вам з тестовими, будемо раді з вами познайомитись та побачити в нашій команді.",https://www.work.ua/en/jobs/5733831/
"Викладач Scratch, Python у всеукраїнську IT-школу","Python,Scratch,Робота з дітьми",4000–9000 UAH,"Logika, мiжнародна школа програмування для дiтей","Хто така Logika: Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають логіку і вміння думати, а в проєктній роботі проявляють креативність та творчі здібності. У програму курсу Logika включені частини курсів з фізики, математики, хімії, астрономії, що допомагає дітям зрозуміти, навіщо шкільні предмети потрібні в реальному житті. Logika активно розвивається у Чернігівській області та в зв’язку із розширеннями відбувається пошук викладачів! Ми пропонуємо:  Робота у вихідні та будні.  Заробітна плата: 400 грн / 1.5 години викладання.  Постійне навчання за рахунок компанії від наших професіоналів (тьюторів, методистів).  Зручне місцерозташування школи.  Круте ком’юніті однодумців!  Хто нам потрібен?:  Потрібні енергійні та вмотивовані викладачі, які ладнають із комп’ютером на «ти» та мають активний підхід до своєї роботи.  Необхідні знання у Scratch, Python.  Вітається знання HTML, CSS та JavaScript.  Великою перевагою буде вища освіта в області ІТ, або ж педагогіки/психології.  Кандидати з досвідом роботи з дітьми в пріоритеті.  Якщо в тебе ще немає досвіду, але є хист і бажання, школа пропонує навчання та підтримку!  Обов`язки:  проводити заняття із використанням уже готових методичних матеріалів школи Logika;  створювати та підтримувати дружню робочу атмосферу;  слідкувати за результатами учнів  давати звіти за шаблонами (таблицями, формами зворотнього звʼязку)  дотримуватися посадових обовʼязків викладача  отримувати задоволення від роботи із майбутнім нашої країни;  Якщо саме ВИ бажаєте власноруч змінювати освіту на краще — ходім до Logika! Не втрачай можливість — хутчіш залишай відгук! А також ПИШІТЬ У ТЕЛЕГРАМ @redlight312.",https://www.work.ua/en/jobs/5733816/
"Викладач в всеукраїнську школу програмування (Scratch, Roblox, Front-end, Python)","CSS,JavaScript,HTML,Python,Комунікабельність,Програмування,Креативність,Робота з дітьми,Scratch,Викладання,Бажання вчитися і розвиватися",10000 UAH,"Logika, мiжнародна школа програмування для дiтей","ДЕ МИ ШУКАЄМО КАНДИДАТІВ :  м.Вишгород   Ш кола Logika  активно розвивається і в зв’язку із розширенням штату фахівців, відбувається пошук викладачів у нашу школу! В нашій школі присутні курси:  Комп’ютерна грамотність, Scratch, Геймдизайн, Python, Front-end та Графічний дизайн.  ПРО ШКОЛУ:  Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають своє логічне та критичне мислення і вміння думати та аналізувати інформацію, в проєктній роботі проявляти креативність та творчі здібності. Ми пропонуємо:  Зайнятість від 3−6+ груп  від 400 грн. за одне заняття (в залежності від кількості дітей у групі)   Гнучкий графік, можливість обрати для себе робочі години.  Графік занять узгоджується.  Вчасна виплата заробітної плати.  Постійне навчання за рахунок компанії від наших професіоналів.  Круте ком’юніті однодумців та комплексну базу знань для співробітників!  Мотивацію для викладачів!  Обов`язки:  Проводити офлайн заняття на локації в одному із міст, де розташована школа із використанням вже готових методичних та практичних матеріалів школи Logika;  Створювати та підтримувати дружню робочу атмосферу на заняттях;  Слідкувати за результатами учнів;  Вчасно заповнювати форми та адміністративну звітність;  Проводити відкриті уроки для батьків, та давати зворотній зв’язок про навчання дітей;  Хто нам потрібен?:  Потрібні  енергійні  та  вмотивовані  викладачі, які ладнають із комп’ютером на «ти» та мають  активний підхід  до своєї роботи.  Високо розвинені  комунікативні  навички , досвід публічних виступів  Любов до дітей  та  бажання  навчати та навчатись разом із ними!  Знання різних мов програмування  Python,Scratch, Lua, HTML,CSS, JavaScript  та величезне  бажання вивчати  нове).  Великою перевагою буде  вища освіта в області ІТ ,  педагогіки/психології.  Кандидати  з досвідом роботи з дітьми  в пріоритеті.  Якщо у Вас ще немає досвіду, але є хист і бажання, школа пропонує навчання і підтримку. Якщо саме ВИ бажаєте власноруч змінювати освіту на краще — чекаємо на Вас в Logika! Не втрачайте можливість — хутчіш залишайте відгук, або ж телефонуте/пишіть: ЗАПИС НА СПІВБЕСІДУ : Viber:  +380990314611 Show phone — Андрій Telegram:  https://t.me/DAndy19976 (@DAndy19976)",https://www.work.ua/en/jobs/5732860/
"Senior Software engineer (Node, Python, LLM)","Відповідальність,Ініціативність",,DigitalSuits,"About the project The Netherlands company revolutionizes technical recruitment by putting the needs of both candidates and companies first. They leverage cutting-edge technology and a vast network of over 2,500 technical companies to connect talented individuals with their dream jobs in the machine building, process industry, and industrial automation sectors. In this role as an AI Process Automation Engineer, you’ll play a pivotal role in not only shaping the future of work but also propelling the company to the forefront of the recruitment industry. Requirements  Proven experience in software development with proficiency in Python (2+ years)  Experience with Node.js (5+ years)  2+ years of experience with Large Language Models (LLMs) and AI development  Proficiency in prompt engineering to guide LLM outputs  Experience with cloud platforms like GCP or AWS  Experience with containerization technologies like Docker and Kubernetes  Experience with microservices architecture  Experience with building RESTful APIs  Experience with database technologies, including SQL and NoSQL  Experience with message brokers  Team lead experience  Experience with React.js  Experience with BigQuery  Upper-Intermediate level of Spoken English or higher  Responsibilities  Design, develop, and integrate LLM functionalities into our recruitment automation systems, utilizing vectorization techniques for efficient data processing and retrieval  Craft effective prompts to optimize LLM performance in various recruitment tasks (e.g., candidate screening, skills extraction, job description generation) -[check] Utilize Node.js and Python to build robust and scalable back-end for your AI solutions  Craft user-friendly interfaces using React.js to interact seamlessly with the LLM models  Collaborate closely with product owners and recruiters to understand process needs and translate them into actionable technical requirements  Monitor, evaluate, and optimize your LLM-powered solutions to ensure peak performance  Stay up-to-date on the latest advancements in LLM technology and its applications within the recruitment landscape  Manage the development team and communicate directly to the business owner  Will be a plus  Experience with orchestration services like Apache Airflow, Orkes, or AWS Step Functions  Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, or a related field  What we offer   Interesting and challenging tasks  Opportunity for growth and professional development  Competitive salary  Support in self-education and initiatives aimed at professional development (annual training budget)  Fully paid English classes (twice per week)  Flexible working hours  Performance review every six months  18 working days of vacation, paid sick leaves  Possibility to work remotely",https://www.work.ua/en/jobs/5733693/
"Python, Javascript Mentor","Організованість,Відповідальність,Python,JavaScript,React,Django,Mentoring",,Evowill,"Evowill is looking for a FullStack Mentor to join our team. If you want to share your knowledge with young developers who have just started their path in programming and you enjoy teaching or want to try yourself in this role, we would be happy to collaborate!   You are:  An Engineer with 5+ years of experience in FullStack development;  Patient, responsible, and organized person;  Interested in teaching people and sharing knowledge;  Like to learn new things the same as to teach;  Proficient in writing clean and maintainable code;  Enjoy helping people to grow technically and intellectually;  Prefer to work remotely and flexibly (in the Ukrainian timezone).  We are:  Ukrainian-Colombian team working with Python, Ruby, and JavaScript/React;  Have several mentors who would like to onboard you and share their experience;  People whose primary value is evolution.  Technical skills:  Deep knowledge of Python, Django, and (would be a plus) FastAPI;  Experience with databases — relational and non-relational;  Proficiency in JavaScript, React, React API, TypeScript, CSS, SCSS, and HTML;  Understanding of OOP, SOLID, Design Patterns, and Microservices;  Experience with containerization (Docker);  Knowledge of at least one cloud provider (AWS, GCP, or Azure);  Understanding of Web Security, protocols, and standards (especially REST);  Proficiency in testing (Pytest or Unittest);  Knowledge of at least one CI tool (CircleCI or GitHub Actions);  Confident with Linux or MacOS;  Expertise in Git and GitFlow;  Being aware of good practices, SDLC, Agile;  English — Upper-Intermediate or Advanced.  We propose:  Remote and flexible job;  Work with an international team from Ukraine and Colombia;  A part-time or full-time position;  Professional growing;  Supportive and collaborative work environment.",https://www.work.ua/en/jobs/5734263/
Python-програміст,"GitHub,Python,Telegram API,Стресостійкість,Django,Здатність до навчання,Selenium,asyncio,aiogram,Почуття гумору,Multiprocessing,DigitalOcean",,"Малина М.Д., ФОП","Вітаю. В мене є телеграм бот, який наразі добре працює. Я бажаю покращувати його, але маю небагато навичок та вільного часу, тому шукаю собі помічника якому я зможу делегувати задачі, з яким ми разом зможемо покращувати бота, навчатись новому, а в результаті отримати класний продукт. Декілька слів про бота: Бот написаний на Python. Бот приймає від користувача картинку. Цю картинку бот відправляє до інших сервісів, наприклад Google та Bing. У відповідь приймає список посилань на схожі картинки. Далі бот переходить по кожному з посилань та завантажує картинки. У кінці бот відправляє користувачу у телеграм усі завантажені картинки та посилання до них. Основні бібліотеки, що використовуються: django, python-telegram-bot/aiogram/Telegram Bot API, Selenium, Requests, FPDF, PILLOW, asyncio, multiprocessing. Також у проекті використовуються декілька платіжних систем. Код працює на DigitalOcean з використанням GitHub. Надалі ми будемо працювати з базами даних (проектування, створення, наповнення), розпізнанням обличчя на фото (та схожі задачі з обробкою фото), також будемо займатися парсингом багатьох сайтів. Для того, щоб наша співпраця була можлива, вам обов’язково потрібно знати більшу частину від представленого вище списку. Що до вимог до кандидата. Мова Python, якщо ви знаєте декілька мов, то ще краще. Проживання у місті Одеса. Рівень підготовки не нижчий за Middle (тут доведеться бути одночасно на всіх рівнях, але не Junior). Стресостійкість, посидючість, гарне почуття гумору. Що я можу запропонувати. По перше, грошову винагороду. Сума залежить від вашого досвіду та навичок, кількості часу відведеного для роботи над проектом.  По друге, ми можемо працювати разом в офісі/дома або дистанційно. Було б здорово проводити особисті зустрічі, щоб робота над проектом не перетворювалась на рутину, а навпаки, була цікавою та ефективною. Зважаючи на зовнішні фактори, можемо організувати безпечне місце для роботи де завжди буде електроенергія та інтернет. По третє, перспективи, про які поки рано говорити. Нажаль, я не зможу відправити вам посилання на бота, але, за потребою, відповім на всі запитання, та розкажу детальніше як все працює.  Буду дуже вдячний якщо ви одразу напишете про свій досвід, навички (додавши приклади ваших робіт), кількість часу який готові приділити проекту та бажану суму винагороди (сума в оголошені не актуальна). Якщо зацікавила пропозиція, звертайтесь. Дякую.",https://www.work.ua/en/jobs/5735794/
"Full stack Python DRF, VueJS developer","Django,Vue.js,Python,PostgreSQL,JavaScript,OpenAI,Django Rest Framework",30000–80000 UAH,Sedna.software,Requirements :   Being able to communicate in English. Being able to work 8 hours on a daily basis during office times.   Online interview required.  Work conditions :  Remote Responsibilities :  Working together in an online team. You will work on a newly started django & vuejs project related to NDT (Non-Destructive Testing) outsourcing.,https://www.work.ua/en/jobs/5735108/
Intern Python developer,"Git,Python,Комунікабельність,Програмування,Знання принципів ООП,PyQt,Tkinter",,HYS Enterprise,"Requirements:  Proficiency in Python3 programming language;  Understanding of basic software development concepts such as data structures, algorithms, and object-oriented programming;  Familiarity with version control systems, preferably Git;  Passionate about AI;  Good communication skills;  Upper-Intermediate English level;  Based in Ukraine (with the option for occasional office visits).  Candidates who do not meet the stated requirements might not be considered. Would be a plus:  Experience in creating native applications (tkinter, PyQt, etc.);  Experience with embedding models;   Experience with libraries such as crewAI, langchain, langgraph;  Understanding of how transformers work;  Experience working with Hugging Face, gsheet API.  About the project: Our tool helps non-technical specialists create AI agents in CrewAI for business tasks using the Google Sheets interface, bypassing direct coding work in CrewAI.  We offer:  Internship schedule: Monday to Friday, 10.00−19.00  Office-based / remote work;  No time trackers or other bureaucratic measures;  Practical experience on internal projects;   Networking with experienced professionals willing to share their knowledge and experience;   Opportunity to obtain a contract with HYS Enterprise as a Junior specialist.  Gifts for birthdays and professional holidays;  Interaction with experienced professionals willing to share their knowledge;  Participation in internal and external events, the opportunity to build or promote your own brand.  It is important! To submit your application for the internship, please follow the link below and fill out the form:  Intern Python Developer",https://www.work.ua/en/jobs/5644457/
